,CountryCode,CurrentHandle,NameFirst,NameLast,PlayerId,TotalUSDPrize
8,us,Caliber,Patrick,Coury,10317,95.0
9,us,Epic,Alex,Damain,27259,95.0
10,ar,Pato,Patricio,Borghi,4342,94.68
11,us,EndOfLine,Erik,Faden,23217,92.86
12,hr,goblin,Leon,Vrhovec,39718,92.5
13,fr,Gartok,-,-,8548,92.37
14,au,Rize,Jessie,Byrne,27071,92.06
15,us,LzGaMeR,Jacob,Winstead,6382,91.43
16,kr,RyoO,Ryoo,Tae Hyung,11134,90.91
17,ca,UnCrissDeQc,-,-,8391,90.4
18,ca,KoreanAir,-,-,8392,90.4
19,au,RunaMoK,Josh,McMillan,35450,90.12
20,us,blu,-,-,24641,90.0
21,fi,Moilanen,-,-,5520,89.18
22,ch,xOni,Egzon,Shala,7368,88.0
23,by,Safa,Sergey,I.,7369,88.0
24,lt,Arew,Vytautas,Graičiūnas,7370,88.0
25,pt,Enchanted,Francisco,Canada,7371,88.0
26,ch,LionS,-,-,7372,88.0
27,no,Starscream,-,-,21269,87.77
28,no,Lizalfo,-,-,21270,87.77
29,kr,chankim,Chan Yang,Kim,29523,86.28
30,us,Pseudorandom,-,-,6403,85.0
31,us,ZergZingZing,Sang Jae,Park,11452,83.33
32,th,ViperPro,Tosapon,Tungkasen,7318,80.23
33,cl,BeAlone,-,-,3546,80.0
34,cl,cEbA,-,-,3547,80.0
35,cl,SenDoh,-,-,3548,80.0
36,cl,Soldier,-,-,3549,80.0
37,dk,Ninkum,Kenenth,Larsen,14131,80.0
38,gb,Figaro,Jasha,Birrell,19886,78.02
39,us,Padre,Clay,Finney,17469,77.5
40,au,Pox,Anthony,Carapetis,19032,76.55
41,fi,Themuszero,-,-,20407,76.51
42,gb,CadenZa,Zoe,Summers,2335,75.0
43,us,Jeff Kosaka,Jeff,Kosaka,2786,75.0
44,us,Jusun Park,Jusun,Park,2787,75.0
45,us,HDstarcraft,Alex,Do,2985,75.0
46,us,dice,Daisuke,Katsumata,3649,75.0
47,nl,Melle,Arjen,Jelgersma,3650,75.0
48,us,avilo,David,Blowe,10018,75.0
49,dk,Ignite,Alexander,Haugsted,11019,75.0
50,fr,Monsteuh,-,-,11020,75.0
51,us,AegiS,-,-,25315,75.0
52,us,Tambi,-,-,40016,75.0
53,us,Blast,Mohamed,Hachem,40017,75.0
54,us,Plurmorant,Matthew,Schulz,40018,75.0
55,us,Eradin,-,-,40019,75.0
56,us,DaeDaLus,-,-,40020,75.0
57,no,PaD,-,-,20126,73.11
58,fr,Imre,Benoit,Jugnon,39746,73.0
59,us,Koka,Thibault,Le Gall,39747,73.0
60,gb,Wardi,Jonathon,Ward,39748,73.0
61,fr,TKL,-,-,39749,73.0
62,fr,FunKa,Alexandre,Verrier,39750,73.0
63,au,Maynarde,Leigh,Mandalov,39751,73.0
64,pl,Emil,Emil,Wieczorek,39752,73.0
65,us,feardragon,Ravi,Pareek,39753,73.0
66,us,MygraiN,James,Horsey,28591,72.86
67,dk,POX,Casper,Stybert,29963,72.76
68,au,Myuu,Kevin,Chen,4898,72.54
69,dk,ActionJesuz,Lars,Krøjmand,18633,72.3
70,kr,Frontier,-,-,7328,72.16
71,de,sieesch,Ludwig,Müller-Zetzsche,13796,71.74
72,de,GaeMtOsS,Eric,Tschirner,15485,71.74
73,gr,Antisocial,-,-,18687,71.74
74,de,mEtRo,Alexander,Fritz,18635,71.69
75,za,ZXRP,-,-,27710,71.57
76,za,enjoy,-,-,27709,71.51
77,sg,Aaron,Aaron,Koh,7319,71.02
78,se,vOddy,Ludvig,Barreto,1481,70.73
79,ru,HobbyPlayer,-,-,18636,68.82
80,gb,robigi,-,-,18859,68.66
81,de,SKy,Sascha,Klenk,5205,68.37
82,hu,Damnosaurus,Gergő,Báró,5204,68.08
83,pl,SodoN,Robert,Mazurek,1479,67.48
84,de,spec,Alexander,Winterholler,18629,67.43
85,de,OgerTob,-,-,19194,66.84
86,de,FallY,Simon,Kindle,3810,65.63
87,de,Risk,Lenny,Neeb,18625,65.34
88,de,iLuvatar,Nicolas,Herb,18626,65.34
89,de,JuNe,Simon,Hoffmann,18628,65.34
90,lt,Nbs,Laurynas,Kisielius,3865,65.0
91,kr,SGW,Gun Woo,Shin,26670,65.0
92,at,naVi,Li,Zhu,15481,64.85
93,hk,nicholashk,-,-,4483,64.48
94,cn,SeRafiNe,-,-,19599,64.4
95,fi,Sein,Tuomas,Lahtinen,1433,63.45
96,my,Lamant,-,-,7303,63.28
97,my,TragicHero,-,-,7305,63.28
98,my,Geney,-,-,7306,63.28
99,my,Zeal,-,-,7307,63.28
0,fr,Spartfire,David,-,21690,62.67
1,kr,Sonagi,Jung Han,Choi,37724,62.5
2,au,Fighto,Ross,Muldoon,7331,61.8
3,ie,Veralynn,Vera,Lynn,3514,60.0
4,us,Zelniq,Jason,Choe,6380,60.0
5,us,Creative,-,-,6396,60.0
6,us,charlie,-,-,6397,60.0
7,us,JayWag,-,-,6398,60.0
8,us,NastyNate,-,-,6399,60.0
9,us,Oxygen,Steven,Reni,6401,60.0
10,us,cheesfactory,-,-,6402,60.0
11,ru,Unix,Alexander,Solyakov,14127,60.0
12,no,erL,Erlend,Fors,28474,58.86
13,no,HOODOUT,-,-,28475,58.86
