0,1031,"January 22, 1991"
0,3819,"August 12, 1997"
0,1043,"August 8, 1988"
0,1049,"January 12, 1995"
0,1799,"January 30, 1991"
0,1261,"March 4, 1996"
0,1015,"November 4, 1987"
0,1040,"April 5, 1991"
0,1581,"August 4, 1988"
0,1381,"January 18, 1990"
0,1019,"November 29, 1984"
0,3442,"December 25, 1992"
0,1050,"June 17, 1992"
0,1032,"October 26, 1992"
0,1010,"August 19, 1987"
0,1098,"October 11, 1988"
0,2216,"June 1, 1991"
0,3267,"December 2, 1992"
0,1380,"May 3, 1992"
0,1096,"November 21, 1990"
0,4299,"January 30, 1997"
0,2071,"August 24, 1991"
0,2938,"October 12, 1990"
0,1059,"March 18, 1988"
0,1041,"February 14, 1986"
0,9779,"April 29, 1996"
0,3464,"July 15, 1990"
0,2225,"April 23, 1991"
0,3823,"August 21, 1995"
0,1326,"September 24, 1992"
0,1335,"July 4, 1986"
0,1051,"July 16, 1991"
0,1302,"May 31, 1987"
0,7994,"June 25, 1996"
0,3619,"September 25, 1992"
0,2044,"November 18, 1991"
0,1282,"October 2, 1986"
0,2826,"September 25, 1991"
0,10958,"December 26, 1996"
0,3827,"January 5, 1993"
0,2226,"October 15, 1992"
0,2228,"April 23, 1992"
0,1258,"September 13, 1988"
0,3401,"May 10, 1990"
0,1323,"April 23, 1988"
0,3211,"August 14, 1989"
0,1272,"December 24, 1993"
0,1055,"July 9, 1988"
0,3437,"May 3, 1992"
0,1259,"September 27, 1991"
0,1160,"April 6, 1989"
0,1083,"May 4, 1989"
0,1332,"June 22, 1988"
0,1805,"May 3, 1989"
0,1054,"July 18, 1991"
0,9780,"December 1, 1992"
0,2832,"August 29, 1989"
0,2281,"November 4, 1988"
0,3093,"December 18, 1995"
0,2802,"February 22, 1992"
0,1111,"May 25, 1994"
0,3622,"December 15, 1993"
0,1265,"August 1, 1992"
0,7780,"May 3, 1995"
0,1117,"June 19, 1983"
0,2053,"November 21, 1989"
0,2218,"January 15, 1992"
0,2233,"April 1, 1993"
0,1299,"November 27, 1994"
0,2937,"August 30, 1993"
0,1678,"August 8, 1992"
0,3551,"November 23, 1995"
0,2935,"January 28, 1994"
0,3067,"October 27, 1995"
0,1044,"August 6, 1982"
0,1056,"March 26, 1992"
0,2270,"December 9, 1990"
0,1851,"March 9, 1986"
0,3589,"October 20, 1994"
0,1065,"December 2, 1988"
0,1071,"May 30, 1993"
0,1102,"September 25, 1991"
0,1119,"April 20, 1995"
0,3403,"May 27, 1992"
0,1800,"February 18, 1990"
0,1048,"February 6, 1989"
0,4711,"November 7, 1996"
0,1106,"October 9, 1993"
0,1166,"March 15, 1986"
0,3268,"January 14, 1986"
0,15017,"February 18, 1995"
0,2315,"September 16, 1989"
0,1262,"February 14, 1984"
0,2057,"March 28, 1990"
0,2227,"July 14, 1988"
0,2244,"March 17, 1988"
0,1340,"September 14, 1989"
0,2417,"June 20, 1986"
0,2415,"May 19, 1994"
0,2765,"July 7, 1994"
0,3533,"May 7, 1982"
0,1849,"April 26, 1988"
0,5097,"April 2, 1996"
0,1131,"November 27, 1988"
0,1386,"October 28, 1988"
0,1847,"November 23, 1992"
0,14696,"September 14, 1994"
0,1164,"December 23, 1987"
0,7334,"March 20, 1995"
0,3615,"March 1, 1994"
0,1286,"September 24, 1989"
0,3825,"February 4, 1993"
0,4074,"December 20, 1992"
0,3552,"February 3, 1995"
0,2764,"April 29, 1989"
0,2835,"February 17, 1983"
0,1294,"May 8, 1987"
0,3535,"April 13, 1987"
0,2892,"March 17, 1989"
0,1330,"January 28, 1990"
0,2064,"October 3, 1991"
0,2075,"September 5, 1989"
0,2214,"July 24, 1991"
0,2246,"November 6, 1989"
0,4071,"June 19, 1991"
0,2766,"February 26, 1992"
0,2836,"February 24, 1986"
0,7339,"August 24, 1999"
0,1322,"October 10, 1988"
0,1066,"September 14, 1988"
0,1108,"September 22, 1987"
0,1267,"December 9, 1991"
0,1053,"February 18, 1989"
0,1242,"November 12, 1985"
0,2051,"October 6, 1989"
0,2305,"August 8, 1990"
0,2621,"February 17, 1995"
0,2331,"August 19, 1993"
0,1336,"May 18, 1993"
0,3018,"January 2, 1991"
0,1087,"February 16, 1991"
0,3071,"September 13, 1987"
0,3738,"August 27, 1992"
0,2414,"April 12, 1990"
0,2247,"February 27, 1990"
0,4713,"March 4, 1995"
0,2897,"June 10, 1996"
0,1273,"June 19, 1987"
0,2212,"November 29, 1988"
0,1077,"September 19, 1984"
0,2423,"October 23, 1992"
0,1352,"June 17, 1987"
0,1114,"May 24, 1993"
0,1176,"December 12, 1988"
0,5030,"March 15, 1984"
0,1171,"January 31, 1988"
0,6179,"December 27, 1989"
0,1661,"April 28, 1985"
0,1073,"September 28, 1984"
0,12544,"March 12, 1996"
0,1425,"June 14, 1992"
0,7380,"January 30, 1989"
0,1427,"June 19, 1993"
0,5087,"July 17, 1991"
0,1949,"June 17, 1990"
0,8569,"October 18, 1988"
0,1245,"August 5, 1995"
0,1247,"January 15, 1986"
0,2901,"September 20, 1988"
0,1172,"September 11, 1985"
0,1304,"October 27, 1987"
0,2321,"May 27, 1989"
0,2337,"May 28, 1982"
0,2301,"May 25, 1989"
0,2239,"February 14, 1989"
0,1297,"June 22, 1992"
0,1356,"September 26, 1986"
0,2837,"May 5, 1984"
0,6767,"August 27, 1991"
0,1105,"September 1, 1990"
0,2346,"March 5, 1985"
