,Age_at_win,Prize_USD,date
228,24.0,2625,2016-05-01
229,25.0,1740,2016-06-22
230,,200,2012-06-02
231,,200,2014-07-13
232,,200,2012-07-29
233,,200,2012-07-29
234,,200,2012-07-29
235,,200,2012-07-29
236,,200,2012-07-29
237,19.0,75,2015-12-01
238,,200,2012-07-29
239,,200,2012-07-28
240,,200,2012-07-28
241,,200,2012-07-28
242,,200,2014-07-13
243,,200,2014-07-13
244,,200,2014-07-13
245,,200,2014-07-13
246,,200,2014-07-13
247,,200,2014-07-13
248,19.0,25,2015-12-09
249,,200,2014-07-13
250,,200,2014-07-13
251,,200,2014-07-13
252,,200,2012-07-21
253,,200,2012-07-21
254,,200,2015-11-15
255,,200,2014-04-06
256,,200,2010-10-09
257,,66,2010-12-02
258,,33,2010-12-09
259,19.0,1666,2016-02-05
260,,66,2011-01-20
261,,33,2012-03-20
262,21.0,198,2012-02-21
263,,197,2015-03-08
264,,97,2014-09-27
265,,96,2015-01-25
266,,97,2014-09-27
267,,96,2015-01-25
268,,140,2011-10-16
269,,50,2011-11-06
270,19.0,5209,2016-04-09
271,,187,2011-08-07
272,,185,2014-12-11
273,17.0,21,2011-07-31
274,17.0,79,2011-08-28
275,17.0,82,2011-10-23
276,19.0,184,2011-05-14
277,,69,2010-10-04
278,,20,2012-02-17
279,,94,2012-09-23
280,,180,2014-03-02
281,20.0,2714,2016-09-10
282,,160,2013-07-07
283,,20,2014-12-21
284,,35,2011-03-01
285,,65,2011-12-17
286,,33,2012-02-21
287,,44,2012-04-15
288,,25,2017-05-04
289,,66,2017-05-28
290,,26,2017-06-10
291,,57,2017-07-11
292,23.0,132,2010-08-08
293,,176,2016-03-26
294,,108,2017-04-30
295,,66,2017-05-28
296,,175,2012-05-27
297,,175,2012-05-27
298,,175,2012-05-27
299,,175,2012-05-27
300,,25,2015-01-25
301,,25,2015-05-16
302,,25,2016-06-17
303,23.0,127,2010-08-22
304,,100,2016-12-03
305,,174,2017-04-09
306,,135,2014-07-26
307,,37,2014-10-29
308,,136,2010-11-14
309,,36,2011-04-28
310,,34,2013-10-26
311,,136,2014-01-11
312,,171,2011-08-28
313,,171,2011-08-28
314,23.0,63,2010-08-23
315,,50,2015-03-07
316,,50,2015-03-13
317,,50,2015-03-20
318,,5,2016-01-08
319,,15,2016-02-09
320,,167,2015-02-28
321,,167,2015-05-12
322,,167,2015-06-09
323,,159,2014-11-01
324,,7,2016-04-03
325,23.0,500,2010-08-29
326,,166,2012-07-21
327,,166,2012-07-21
328,,166,2012-07-21
329,,166,2012-07-21
330,,166,2012-07-21
331,,166,2012-07-21
332,22.0,163,2011-12-18
333,,162,2015-07-26
334,,160,2015-10-16
335,,45,2013-07-21
336,20.0,2900,2011-08-21
337,23.0,100,2010-09-17
338,,66,2013-08-05
339,,46,2013-08-18
340,21.0,68,2010-11-22
341,21.0,25,2010-11-27
342,21.0,65,2010-11-29
343,,20,2010-12-07
344,,66,2010-12-30
345,,71,2011-05-30
346,,155,2011-09-04
347,18.0,20,2011-10-18
348,23.0,25,2010-10-02
349,18.0,132,2012-03-18
350,,150,2014-05-18
351,,150,2014-05-18
352,,50,2010-11-13
353,,100,2011-05-13
354,20.0,150,2012-07-15
355,,150,2012-06-24
356,22.0,100,2012-11-24
357,22.0,25,2013-06-06
358,25.0,25,2015-11-15
359,23.0,100,2010-10-15
360,,150,2012-07-15
361,,150,2012-07-15
362,,150,2012-07-15
363,,150,2012-07-15
364,,150,2012-07-15
365,21.0,150,2012-07-15
366,,150,2012-07-15
367,,150,2011-05-27
368,,150,2012-09-09
369,,150,2012-09-09
370,23.0,100,2010-10-19
371,,150,2013-08-18
372,,150,2012-07-15
373,,150,2012-07-15
374,,150,2012-07-15
375,,150,2012-07-15
376,,150,2012-07-15
377,,150,2012-07-15
378,,150,2012-07-15
379,,100,2015-01-03
380,,50,2015-08-02
381,23.0,278,2010-10-31
382,,150,2016-08-14
383,,150,2017-05-27
384,24.0,99,2012-03-28
385,24.0,25,2012-03-31
386,24.0,25,2012-06-30
387,29.0,148,2010-10-10
388,,148,2010-10-10
389,,15,2014-11-16
390,,96,2015-01-25
391,,35,2016-03-25
392,23.0,695,2010-11-04
393,,146,2016-06-19
394,,45,2012-01-29
395,,100,2012-12-01
396,21.0,10,2014-08-02
397,21.0,10,2015-01-18
398,22.0,25,2015-03-28
399,22.0,100,2015-06-19
400,,15,2015-07-19
401,,15,2016-01-30
402,,25,2016-05-21
403,23.0,1513,2010-11-07
404,,90,2016-08-20
405,,144,2011-12-17
406,,142,2012-11-21
407,,71,2014-04-21
408,,71,2014-04-23
409,,30,2016-09-10
410,,24,2017-01-28
411,,20,2017-04-30
412,,66,2017-05-28
413,,140,2010-11-06
414,23.0,68,2010-11-08
415,,71,2011-05-05
416,,68,2011-10-13
417,,140,2014-10-19
418,,140,2012-07-01
419,,51,2011-10-16
420,,88,2011-11-06
421,,139,2011-10-24
422,,139,2016-08-05
423,,10,2016-11-30
424,,21,2017-01-14
425,23.0,100,2010-11-12
426,,30,2017-02-18
427,,30,2017-05-23
428,,20,2017-07-10
429,,20,2017-08-12
430,,5,2017-08-14
431,21.0,135,2010-04-18
432,,135,2014-07-06
433,20.0,65,2013-04-14
434,22.0,69,2015-09-06
435,,134,2010-04-03
436,23.0,271,2010-11-17
437,,134,2013-06-18
438,,133,2010-11-23
439,,133,2010-11-23
