,Age_at_win,Prize_USD,date
3405,22.0,305,2016-03-20
3406,22.0,60,2016-03-21
3407,22.0,10,2016-03-23
3408,22.0,80,2016-04-03
3409,22.0,800,2016-04-09
3410,22.0,300,2016-04-18
3411,22.0,29,2016-04-21
3412,22.0,44,2016-04-24
3413,22.0,114,2016-05-08
3414,21.0,377,2013-10-19
3415,22.0,20,2016-05-17
3416,22.0,114,2016-05-29
3417,22.0,56,2016-06-05
3418,22.0,10,2016-06-06
3419,22.0,168,2016-06-14
3420,22.0,17,2016-06-17
3421,22.0,60,2016-06-20
3422,22.0,331,2016-07-12
3423,22.0,64,2016-08-07
3424,22.0,4000,2016-08-14
3425,22.0,150,2014-06-03
3426,22.0,37,2016-08-28
3427,22.0,145,2016-09-01
3428,22.0,1000,2016-09-17
3429,22.0,50,2016-09-30
3430,22.0,250,2016-10-15
3431,22.0,300,2016-10-21
3432,22.0,20,2016-10-24
3433,22.0,37,2016-11-12
3434,22.0,20,2016-11-28
3435,22.0,10,2016-12-05
3436,22.0,1356,2014-07-12
3437,22.0,25,2016-12-10
3438,23.0,360,2016-12-17
3439,23.0,10,2016-12-19
3440,23.0,2500,2017-01-21
3441,23.0,20,2017-02-06
3442,23.0,30,2017-02-19
3443,23.0,12,2017-02-19
3444,23.0,1000,2017-03-05
3445,23.0,10,2017-03-12
3446,23.0,20,2017-03-15
3447,20.0,1000,2012-06-10
3448,22.0,10000,2014-07-20
3449,23.0,15,2017-03-18
3450,23.0,20,2017-03-20
3451,23.0,50,2017-03-29
3452,23.0,20,2017-04-01
3453,23.0,600,2017-04-08
3454,23.0,60,2017-04-24
3455,23.0,1000,2017-04-30
3456,23.0,400,2017-05-20
3457,23.0,50,2017-06-07
3458,23.0,15,2017-06-11
3459,22.0,1356,2014-07-26
3460,23.0,12,2017-06-11
3461,23.0,1000,2017-06-19
3462,23.0,60,2017-07-10
3463,23.0,400,2017-08-19
3464,23.0,2500,2017-09-10
3465,18.0,259,2012-10-21
3466,18.0,500,2013-01-19
3467,19.0,65,2013-02-26
3468,19.0,33,2013-06-18
3469,19.0,25,2013-06-19
3470,22.0,600,2014-08-01
3471,19.0,32,2013-06-25
3472,19.0,100,2013-06-26
3473,19.0,150,2013-06-29
3474,19.0,197,2013-07-08
3475,19.0,383,2013-07-09
3476,19.0,65,2013-07-16
3477,19.0,200,2013-08-18
3478,19.0,200,2013-08-22
3479,19.0,2000,2013-10-06
3480,19.0,40,2013-10-08
3481,22.0,1000,2014-08-30
3482,19.0,321,2013-10-15
3483,19.0,40,2013-10-22
3484,19.0,300,2013-10-23
3485,19.0,321,2013-10-29
3486,19.0,40,2013-11-05
3487,19.0,50,2013-11-27
3488,19.0,250,2013-12-04
3489,19.0,755,2013-12-15
3490,19.0,408,2014-01-26
3491,19.0,80,2014-02-19
3492,22.0,1000,2014-09-27
3493,20.0,80,2014-03-05
3494,20.0,80,2014-03-12
3495,20.0,2000,2014-04-13
3496,20.0,600,2014-05-02
3497,20.0,4122,2014-05-02
3498,20.0,137,2014-05-25
3499,20.0,163,2014-06-18
3500,20.0,40,2014-07-10
3501,20.0,326,2014-07-16
3502,20.0,2010,2014-08-13
3503,22.0,79,2014-10-05
3504,20.0,500,2014-08-16
3505,20.0,75,2014-10-01
3506,20.0,2000,2014-10-05
3507,20.0,63,2014-10-05
3508,20.0,75,2014-10-08
3509,20.0,75,2014-10-22
3510,20.0,37,2014-10-29
3511,20.0,3739,2014-12-12
3512,20.0,87,2015-01-19
3513,21.0,108,2015-03-29
3514,22.0,126,2014-10-05
3515,21.0,10000,2015-04-05
3516,21.0,95,2015-04-10
3517,21.0,750,2015-04-19
3518,21.0,2000,2015-04-30
3519,21.0,67,2015-06-16
3520,21.0,133,2015-06-23
3521,21.0,66,2015-06-30
3522,21.0,301,2015-08-09
3523,21.0,4500,2015-09-13
3524,21.0,68,2015-10-13
3525,22.0,39,2014-10-07
3526,21.0,136,2015-10-20
3527,21.0,132,2015-10-27
3528,21.0,131,2015-11-03
3529,21.0,3000,2015-11-28
3530,21.0,1631,2015-12-05
3531,21.0,875,2015-12-20
3532,21.0,2000,2016-01-24
3533,21.0,400,2016-02-14
3534,22.0,66,2016-03-08
3535,22.0,133,2016-03-15
3536,22.0,319,2014-10-12
3537,22.0,133,2016-04-05
3538,22.0,1200,2016-04-09
3539,22.0,44,2016-04-24
3540,22.0,455,2016-05-08
3541,22.0,35000,2016-05-14
3542,22.0,1145,2016-05-23
3543,22.0,1600,2016-07-09
3544,22.0,2000,2016-07-16
3545,22.0,5000,2016-07-31
3546,22.0,1500,2016-08-14
3547,22.0,159,2014-10-17
3548,22.0,3397,2016-08-20
3549,22.0,3057,2016-08-27
3550,22.0,12,2016-08-28
3551,22.0,100,2016-08-28
3552,22.0,251,2016-09-01
3553,22.0,10000,2016-09-11
3554,22.0,20,2016-09-17
3555,22.0,1198,2016-10-09
3556,22.0,15000,2016-11-05
3557,22.0,106,2016-12-04
3558,21.0,3000,2012-07-08
3559,22.0,200,2014-10-26
3560,22.0,250,2016-12-11
3561,22.0,20000,2017-01-15
3562,22.0,1250,2017-01-21
3563,22.0,105,2017-02-12
3564,22.0,60,2017-02-13
3565,23.0,158,2017-02-24
3566,23.0,1100,2017-03-05
3567,23.0,200,2017-03-13
3568,23.0,120,2017-03-18
3569,23.0,37,2017-03-18
3570,22.0,159,2014-10-28
3571,23.0,400,2017-03-18
3572,23.0,210,2017-03-27
3573,23.0,200,2017-03-29
3574,23.0,1600,2017-04-08
3575,23.0,50,2017-04-09
3576,23.0,12,2017-04-09
3577,23.0,1697,2017-04-16
3578,23.0,4000,2017-04-30
3579,23.0,900,2017-05-07
3580,23.0,600,2017-05-20
3581,22.0,124,2014-11-02
3582,23.0,100,2017-06-07
3583,23.0,130,2017-06-11
3584,23.0,12,2017-06-11
3585,23.0,1000,2017-06-19
3586,23.0,113,2017-07-02
3587,23.0,35,2017-07-03
3588,23.0,37,2017-07-03
3589,23.0,90,2017-07-03
3590,23.0,113,2017-07-09
3591,23.0,20,2017-07-09
3592,22.0,79,2014-11-02
3593,23.0,250,2017-07-23
3594,23.0,2215,2017-08-06
3595,23.0,40,2017-08-12
3596,23.0,75,2017-08-12
3597,23.0,1600,2017-08-19
3598,23.0,65,2017-09-04
3599,23.0,2500,2017-09-10
3600,20.0,264,2012-08-25
3601,20.0,1500,2012-11-04
3602,21.0,2790,2012-12-14
3603,22.0,39,2014-11-07
3604,21.0,2757,2013-03-09
3605,21.0,20000,2013-06-01
3606,21.0,10000,2013-06-09
3607,21.0,4104,2013-08-03
3608,21.0,2667,2013-08-03
3609,21.0,1368,2013-08-03
3610,21.0,3500,2013-08-10
3611,21.0,7000,2013-10-19
3612,21.0,20000,2013-10-27
3613,21.0,7500,2013-11-09
3614,22.0,79,2014-11-09
3615,21.0,30000,2013-12-01
3616,21.0,7567,2013-12-08
3617,22.0,685,2014-02-11
3618,22.0,2276,2014-04-05
3619,22.0,2057,2014-05-20
3620,22.0,3945,2014-06-28
3621,22.0,685,2014-07-08
3622,22.0,2133,2014-08-09
3623,22.0,2318,2014-10-04
3624,22.0,1127,2014-12-07
3625,22.0,50,2014-11-11
3626,23.0,700,2015-01-05
3627,23.0,100,2015-01-26
3628,23.0,2000,2015-02-01
3629,23.0,20,2015-03-08
3630,23.0,1346,2015-03-22
3631,23.0,1415,2015-04-12
3632,23.0,365,2015-04-17
3633,23.0,100,2015-04-28
3634,23.0,738,2015-05-05
3635,23.0,907,2015-06-20
3636,22.0,159,2014-11-26
3637,23.0,45,2015-11-24
3638,23.0,45,2015-11-30
3639,23.0,25,2015-12-04
3640,23.0,25,2015-12-08
3641,23.0,75,2015-12-09
3642,24.0,15,2015-12-12
3643,24.0,45,2015-12-19
3644,24.0,300,2015-12-28
3645,24.0,75,2016-01-10
3646,24.0,75,2016-01-12
3647,22.0,100,2015-01-10
3648,24.0,15,2016-01-16
3649,24.0,45,2016-01-24
3650,24.0,50,2016-01-30
3651,24.0,2000,2016-02-02
3652,24.0,45,2016-02-07
3653,24.0,250,2016-02-27
3654,24.0,25,2016-03-06
3655,24.0,100,2016-03-19
3656,24.0,256,2016-03-27
3657,24.0,25,2016-04-02
3658,22.0,20,2015-02-16
3659,24.0,3472,2016-04-09
3660,24.0,25,2016-04-15
3661,24.0,249,2016-04-24
3662,24.0,2625,2016-05-01
3663,24.0,15,2016-05-12
3664,24.0,25,2016-06-11
3665,24.0,50,2016-06-21
3666,24.0,1740,2016-06-22
3667,24.0,75,2016-06-27
3668,19.0,904,2012-10-18
3669,21.0,10000,2012-07-15
3670,23.0,45,2015-02-21
3671,19.0,200,2012-12-02
3672,19.0,4650,2012-12-14
3673,19.0,600,2013-03-01
3674,19.0,2757,2013-03-09
3675,19.0,9000,2013-03-17
3676,19.0,12000,2013-06-01
3677,19.0,40000,2013-06-09
3678,20.0,2667,2013-08-03
3679,20.0,3557,2013-08-03
3680,20.0,7000,2013-08-10
3681,23.0,45,2015-03-17
3682,20.0,5000,2013-08-25
3683,20.0,428,2013-09-14
3684,20.0,5371,2013-09-15
3685,20.0,2000,2013-10-19
3686,20.0,942,2013-10-19
3687,20.0,5000,2013-11-09
3688,20.0,2826,2013-11-23
3689,20.0,672,2013-11-23
3690,20.0,6056,2013-11-23
3691,20.0,942,2013-11-23
3692,23.0,250,2015-04-16
3693,20.0,6109,2013-11-30
3694,20.0,3000,2013-12-07
3695,20.0,2000,2013-12-15
3696,20.0,644,2014-01-24
3697,20.0,500,2014-02-07
3698,20.0,1000,2014-02-16
3699,20.0,83,2014-02-23
3700,20.0,3000,2014-04-27
3701,20.0,1500,2014-05-03
3702,20.0,50,2014-05-10
3703,23.0,250,2015-05-02
3704,20.0,100,2014-05-10
3705,20.0,1200,2014-05-26
3706,20.0,325,2014-06-08
3707,20.0,1200,2014-06-12
3708,20.0,2367,2014-06-28
3709,20.0,1000,2014-07-20
3710,21.0,2000,2014-07-27
3711,21.0,1600,2014-08-10
3712,21.0,2500,2014-08-16
3713,21.0,67620,2014-10-04
3714,23.0,100,2015-06-10
3715,21.0,7500,2014-11-08
3716,21.0,1127,2014-12-07
3717,21.0,1956,2015-02-14
3718,21.0,3000,2015-03-15
3719,21.0,2244,2015-03-22
3720,21.0,181,2015-04-10
3721,21.0,1371,2015-06-28
3722,21.0,1913,2015-07-04
3723,21.0,1816,2015-07-10
3724,22.0,10000,2015-08-09
3725,23.0,776,2015-06-28
3726,22.0,2000,2015-08-31
3727,22.0,530,2015-09-13
3728,22.0,34360,2015-10-04
3729,22.0,7066,2015-10-10
3730,22.0,7500,2015-11-07
3731,22.0,1463,2016-01-03
3732,22.0,1666,2016-02-05
3733,22.0,1640,2016-03-26
3734,22.0,3472,2016-04-09
3735,22.0,1740,2016-06-22
3736,23.0,6500,2015-07-05
3737,22.0,1750,2016-07-24
3738,23.0,750,2016-08-27
3739,23.0,35,2016-10-11
3740,23.0,250,2016-10-15
3741,23.0,847,2016-11-20
3742,23.0,1400,2016-11-23
3743,23.0,281,2016-12-02
3744,23.0,1400,2016-12-07
3745,23.0,150,2016-12-08
3746,23.0,1000,2016-12-10
3747,23.0,1859,2015-07-11
3748,23.0,15000,2016-12-18
3749,23.0,49,2017-01-03
3750,23.0,627,2017-01-05
3751,23.0,1046,2017-01-12
3752,23.0,49,2017-01-17
3753,23.0,3750,2017-01-21
3754,23.0,350,2017-01-24
3755,23.0,669,2017-01-27
3756,23.0,200,2017-02-05
3757,23.0,75,2017-02-06
3758,23.0,343,2015-07-24
3759,23.0,24,2017-02-14
3760,23.0,41,2017-02-18
3761,23.0,7300,2017-03-05
3762,23.0,50,2017-03-13
3763,23.0,375,2017-03-18
3764,23.0,4470,2017-03-26
3765,23.0,37,2017-03-30
3766,23.0,439,2017-04-09
3767,23.0,26,2017-04-18
3768,23.0,26,2017-05-02
3769,23.0,500,2015-09-30
3770,23.0,105,2017-05-09
3771,23.0,52,2017-05-16
3772,23.0,127,2017-05-21
3773,23.0,50,2017-05-23
3774,23.0,162,2017-05-28
3775,23.0,75,2017-06-01
3776,23.0,14176,2017-06-10
3777,23.0,73,2017-06-12
3778,23.0,25,2017-06-20
3779,23.0,3524,2017-06-24
3780,21.0,1050,2012-07-15
3781,23.0,1666,2016-02-05
3782,23.0,50,2017-07-04
3783,23.0,4422,2017-07-07
3784,23.0,150,2017-07-18
3785,23.0,442,2017-07-21
3786,24.0,1000,2017-07-30
3787,24.0,35440,2017-08-06
3788,24.0,75,2017-08-08
3789,24.0,500,2017-08-13
3790,24.0,150,2017-08-15
3791,24.0,500,2017-08-27
3792,18.0,767,2011-05-19
3793,24.0,50,2017-09-05
3794,24.0,25,2017-09-12
3795,24.0,35280,2017-09-16
3796,17.0,136,2011-10-10
3797,19.0,1000,2013-06-30
3798,19.0,3557,2013-08-03
3799,19.0,2667,2013-08-03
3800,19.0,539,2013-08-10
3801,19.0,20000,2013-10-19
3802,19.0,40000,2013-10-27
3803,18.0,379,2011-07-30
3804,19.0,7500,2013-11-09
3805,19.0,942,2013-11-23
3806,19.0,672,2013-11-23
3807,19.0,403,2013-11-23
3808,19.0,3783,2013-12-08
3809,19.0,5000,2014-02-01
3810,19.0,512,2014-02-08
3811,19.0,400,2014-02-16
3812,19.0,100,2014-03-23
3813,19.0,2276,2014-04-05
3814,19.0,185,2011-09-10
3815,19.0,674,2014-04-18
3816,20.0,50,2014-07-27
3817,20.0,1000,2014-08-27
3818,20.0,1500,2014-10-03
3819,20.0,1449,2014-10-04
3820,20.0,1808,2015-03-21
3821,20.0,763,2015-03-22
3822,20.0,365,2015-04-17
3823,21.0,323,2015-05-05
3824,21.0,907,2015-06-20
3825,19.0,137,2011-11-13
3826,21.0,500,2015-07-05
3827,21.0,908,2015-07-10
3828,21.0,3436,2015-10-04
3829,21.0,25,2015-10-23
3830,21.0,210,2015-12-26
3831,21.0,2000,2016-03-27
3832,22.0,7876,2016-05-01
3833,22.0,750,2016-07-24
3834,22.0,8142,2016-09-10
3835,22.0,5377,2016-09-11
3836,19.0,136,2011-11-14
3837,22.0,10000,2016-11-05
3838,22.0,170,2016-11-14
3839,22.0,106,2017-03-07
3840,22.0,50,2017-03-19
3841,22.0,439,2017-04-09
3842,23.0,109,2017-04-28
3843,23.0,1694,2017-06-03
3844,23.0,3524,2017-06-24
3845,23.0,1500,2017-08-13
3846,23.0,2646,2017-09-16
3847,19.0,5000,2011-11-20
3848,21.0,7945,2012-09-22
3849,21.0,353,2013-06-01
3850,21.0,1333,2013-08-03
3851,22.0,942,2013-10-19
3852,22.0,2000,2013-12-01
3853,22.0,1422,2014-04-05
3854,22.0,600,2014-05-20
3855,22.0,1479,2014-06-28
3856,22.0,676,2014-07-26
3857,22.0,50,2014-07-27
3858,19.0,90,2011-12-22
3859,22.0,200,2014-07-31
3860,22.0,1100,2014-08-10
3861,23.0,50,2014-10-06
3862,23.0,50,2014-11-25
3863,23.0,39,2014-12-14
3864,23.0,156,2014-12-19
3865,23.0,123,2014-12-21
3866,23.0,75,2014-12-27
3867,23.0,156,2014-12-28
3868,23.0,100,2015-01-04
3869,19.0,100,2012-02-25
3870,23.0,116,2015-01-04
3871,23.0,50,2015-01-05
3872,23.0,20,2015-01-11
3873,23.0,116,2015-01-11
3874,23.0,116,2015-01-18
3875,23.0,348,2015-01-19
3876,23.0,400,2015-02-01
3877,23.0,75,2015-02-07
3878,23.0,340,2015-02-11
3879,23.0,113,2015-02-15
3880,19.0,442,2012-04-07
3881,23.0,150,2015-03-08
3882,23.0,1000,2015-03-15
3883,23.0,3000,2015-03-29
3884,23.0,15000,2015-04-05
3885,23.0,56,2015-04-12
3886,23.0,2500,2015-04-19
3887,23.0,500,2015-05-02
3888,23.0,3000,2015-05-03
3889,23.0,332,2015-05-04
3890,23.0,55,2015-05-17
3891,21.0,17566,2012-07-27
3892,19.0,2000,2012-04-08
3893,23.0,100,2015-05-20
3894,23.0,75,2015-05-22
3895,23.0,111,2015-05-31
3896,23.0,111,2015-06-07
3897,23.0,83,2015-06-09
3898,23.0,25,2015-06-13
3899,23.0,111,2015-06-14
3900,23.0,100,2015-06-19
3901,23.0,100,2015-06-21
3902,23.0,39,2015-06-21
3903,19.0,250,2012-06-02
3904,23.0,30000,2015-06-28
3905,23.0,650,2015-08-02
3906,23.0,60,2015-08-09
3907,23.0,110,2015-08-09
3908,23.0,55,2015-08-16
3909,23.0,1020,2015-08-23
3910,23.0,1000,2015-08-31
3911,24.0,50,2015-09-05
3912,24.0,8000,2015-09-13
3913,24.0,337,2015-09-22
3914,19.0,18,2012-06-03
3915,24.0,56,2015-09-27
3916,24.0,57,2015-09-29
3917,24.0,100,2015-09-30
3918,24.0,500,2015-09-30
3919,24.0,113,2015-10-04
3920,24.0,113,2015-10-17
3921,24.0,56,2015-10-24
3922,24.0,160,2015-10-24
3923,24.0,7500,2015-11-07
3924,24.0,1463,2016-01-03
3925,19.0,125,2012-06-17
3926,24.0,2000,2016-01-24
3927,24.0,56,2016-01-28
3928,24.0,75,2016-01-29
3929,24.0,50,2016-02-07
3930,24.0,53,2016-02-11
3931,24.0,1200,2016-02-14
3932,24.0,60,2016-02-16
3933,24.0,53,2016-02-18
3934,24.0,54,2016-02-21
3935,24.0,35,2016-02-25
3936,19.0,454,2012-07-01
3937,24.0,99,2016-02-27
3938,24.0,10000,2016-03-05
3939,24.0,83,2016-03-15
3940,24.0,100,2016-03-16
3941,24.0,75,2016-03-27
3942,24.0,50,2016-03-27
3943,24.0,60,2016-03-28
3944,24.0,34,2016-04-01
3945,24.0,60,2016-04-02
3946,24.0,480,2016-04-03
3947,19.0,351,2012-07-25
3948,24.0,800,2016-04-09
3949,24.0,75,2016-04-10
3950,24.0,50,2016-04-10
3951,24.0,170,2016-04-12
3952,24.0,100,2016-04-15
3953,24.0,56,2016-04-17
3954,24.0,200,2016-04-20
3955,24.0,35,2016-04-23
3956,24.0,267,2016-04-24
3957,24.0,15,2016-04-28
3958,19.0,439,2012-07-28
3959,24.0,15,2016-04-29
3960,24.0,16000,2016-05-08
3961,24.0,340,2016-05-10
3962,24.0,4000,2016-05-14
3963,24.0,108,2016-06-18
3964,24.0,20,2016-06-20
3965,24.0,400,2016-06-21
3966,24.0,100,2016-06-25
3967,24.0,111,2016-06-26
3968,24.0,400,2016-07-01
3969,20.0,7861,2012-08-11
3970,24.0,1200,2016-07-09
3971,24.0,1000,2016-07-16
3972,24.0,2000,2016-07-31
3973,24.0,250,2016-08-07
3974,24.0,1500,2016-08-14
3975,24.0,130,2016-08-27
3976,24.0,200,2016-08-31
3977,25.0,110,2016-09-04
3978,25.0,2500,2016-09-11
3979,25.0,151,2016-10-23
3980,20.0,100,2012-08-11
3981,25.0,2000,2016-11-04
3982,21.0,125,2010-05-17
3983,21.0,628,2010-05-31
3984,21.0,200,2010-08-15
3985,21.0,300,2010-08-22
3986,21.0,2500,2010-08-29
3987,21.0,1200,2010-10-10
3988,21.0,1000,2010-10-17
3989,21.0,75,2010-11-14
3990,21.0,533,2011-03-19
3991,20.0,264,2012-08-25
3992,21.0,2671,2011-04-09
3993,21.0,3000,2011-04-13
3994,22.0,1380,2011-05-14
3995,22.0,150,2011-05-15
3996,22.0,919,2011-06-18
3997,22.0,15726,2011-06-21
3998,22.0,2838,2011-06-26
3999,22.0,1898,2011-07-30
4000,22.0,500,2011-07-31
4001,22.0,600,2011-08-21
4002,21.0,6500,2012-08-04
4003,20.0,200,2012-11-21
4004,22.0,500,2011-08-28
4005,22.0,2785,2011-09-10
4006,22.0,254,2011-10-02
4007,22.0,2000,2011-10-09
4008,22.0,5000,2011-10-16
4009,22.0,1307,2011-10-22
4010,22.0,142,2011-11-13
4011,22.0,7500,2011-11-20
4012,22.0,1000,2011-12-04
4013,22.0,708,2011-12-07
4014,20.0,129,2012-12-05
4015,22.0,1770,2011-12-07
4016,22.0,3600,2012-02-26
4017,22.0,358,2012-03-01
4018,22.0,5500,2012-03-25
4019,23.0,342,2012-05-17
4020,23.0,800,2012-05-27
4021,23.0,225,2012-07-15
4022,23.0,1050,2012-07-15
4023,23.0,1000,2012-08-25
4024,23.0,2000,2012-11-18
4025,20.0,1540,2012-12-08
4026,23.0,285,2012-11-21
4027,23.0,500,2012-12-02
4028,23.0,367,2013-02-27
4029,23.0,1378,2013-03-09
4030,24.0,1500,2013-06-02
4031,24.0,200,2013-06-17
4032,24.0,2300,2013-07-28
4033,24.0,1500,2013-07-28
4034,24.0,370,2013-08-03
4035,24.0,1500,2013-08-11
4036,20.0,372,2012-12-14
4037,24.0,25,2013-08-17
4038,24.0,2500,2013-08-18
4039,24.0,644,2013-08-31
4040,24.0,200,2013-09-05
4041,24.0,350,2013-10-13
4042,24.0,2000,2013-10-20
4043,24.0,100,2013-11-03
4044,24.0,200,2013-11-03
4045,24.0,2500,2013-12-08
4046,24.0,40,2014-01-05
4047,20.0,1000,2013-03-29
4048,24.0,650,2014-02-09
4049,24.0,100,2014-02-20
4050,24.0,100,2014-03-24
4051,24.0,3000,2014-04-13
4052,24.0,13,2014-04-13
4053,24.0,250,2014-05-04
4054,25.0,600,2014-06-19
4055,25.0,300,2014-06-24
4056,25.0,2000,2014-07-06
4057,25.0,1700,2014-07-13
4058,20.0,129,2013-05-29
4059,25.0,800,2014-08-10
4060,25.0,200,2014-08-24
4061,25.0,300,2014-10-05
4062,25.0,5000,2014-10-12
4063,25.0,1000,2014-11-02
4064,25.0,3000,2014-11-16
4065,25.0,50,2014-11-25
4066,25.0,350,2014-12-07
4067,25.0,400,2015-01-10
4068,25.0,150,2015-02-14
4069,20.0,200,2013-06-05
4070,25.0,75,2015-02-20
4071,25.0,75,2015-03-15
4072,25.0,50,2015-03-30
4073,25.0,4500,2015-04-05
4074,25.0,75,2015-04-12
4075,25.0,100,2015-04-18
4076,25.0,2000,2015-04-30
4077,25.0,20,2015-05-03
4078,26.0,625,2015-05-31
4079,26.0,1000,2015-06-28
4080,20.0,1372,2013-07-20
4081,26.0,2000,2015-07-28
4082,26.0,1245,2015-08-30
4083,26.0,7500,2015-09-19
4084,26.0,100,2015-11-15
4085,26.0,50,2015-11-20
4086,26.0,50,2015-12-13
4087,26.0,100,2016-01-04
4088,26.0,89,2016-01-10
4089,26.0,25,2016-01-15
4090,26.0,250,2016-01-17
4091,21.0,100,2013-08-07
4092,26.0,35,2016-01-17
4093,26.0,1000,2016-01-24
4094,26.0,75,2016-02-06
4095,26.0,105,2016-02-07
4096,26.0,400,2016-02-14
4097,26.0,75,2016-02-20
4098,26.0,8000,2016-03-05
4099,26.0,76,2016-03-20
4100,26.0,600,2016-04-09
4101,26.0,706,2016-04-17
4102,21.0,1500,2013-08-11
4103,27.0,1500,2016-05-14
4104,27.0,1600,2016-08-14
4105,27.0,15,2016-08-27
4106,21.0,25,2011-10-13
4107,21.0,885,2011-12-07
4108,22.0,538,2012-03-01
4109,22.0,1345,2012-03-03
4110,22.0,375,2012-03-09
4111,22.0,176,2012-04-07
4112,22.0,684,2012-05-17
4113,21.0,1285,2012-08-11
4114,21.0,100,2013-08-18
4115,22.0,1282,2012-05-19
4116,22.0,527,2012-07-25
4117,22.0,4000,2012-08-04
4118,22.0,614,2012-08-12
4119,22.0,900,2012-08-19
4120,22.0,1500,2012-08-25
4121,22.0,6099,2012-09-23
4122,22.0,12000,2012-11-03
4123,22.0,254,2012-11-11
4124,22.0,640,2012-11-20
4125,21.0,833,2013-08-18
4126,23.0,2564,2013-03-31
4127,23.0,7000,2013-05-26
4128,23.0,1949,2013-06-02
4129,23.0,7500,2013-06-09
4130,23.0,1500,2013-08-11
4131,23.0,200,2013-08-18
4132,23.0,600,2013-08-18
4133,23.0,1534,2013-09-15
4134,23.0,2974,2013-09-20
4135,23.0,2000,2013-10-06
4136,21.0,25,2013-09-11
4137,23.0,100,2013-10-23
4138,23.0,411,2013-12-11
4139,23.0,273,2013-12-22
4140,23.0,3000,2014-02-01
4141,24.0,400,2014-02-16
4142,24.0,100,2014-03-06
4143,24.0,2000,2014-04-04
4144,24.0,2000,2014-04-13
4145,24.0,2210,2014-04-20
4146,24.0,7500,2014-07-06
4147,21.0,270,2013-09-19
4148,24.0,3000,2014-09-27
4149,24.0,5000,2014-10-05
4150,24.0,175,2014-10-13
4151,24.0,124,2014-11-16
4152,24.0,30000,2014-11-29
4153,24.0,1000,2014-12-07
4154,24.0,855,2014-12-21
4155,24.0,350,2015-02-01
4156,24.0,832,2015-02-03
4157,25.0,8000,2015-04-05
4158,21.0,1500,2013-10-06
4159,25.0,2000,2015-04-30
4160,25.0,6000,2015-06-28
4161,25.0,1000,2015-08-09
4162,25.0,10000,2015-09-13
4163,19.0,100,2011-06-22
4164,19.0,25,2011-06-29
4165,19.0,50000,2011-07-10
4166,20.0,6500,2011-08-21
4167,20.0,300,2011-08-21
4168,20.0,1000,2011-08-28
4169,21.0,83,2014-04-28
4170,20.0,1750,2011-10-05
4171,20.0,3000,2011-10-09
4172,20.0,500,2011-10-16
4173,20.0,142,2011-11-13
4174,20.0,12841,2011-11-27
4175,20.0,40000,2011-12-04
4176,20.0,3000,2012-02-25
4177,20.0,15000,2012-03-10
4178,20.0,1000,2012-04-08
4179,20.0,500,2012-05-13
4180,21.0,1479,2014-06-28
4181,20.0,3500,2012-06-10
4182,20.0,1050,2012-07-15
4183,21.0,1013,2012-07-28
4184,21.0,650,2012-08-19
4185,21.0,285,2012-11-21
4186,21.0,1000,2013-01-09
4187,21.0,333,2013-03-29
4188,22.0,370,2013-08-03
4189,20.0,919,2013-02-27
4190,21.0,1500,2013-06-01
4191,21.0,676,2014-07-26
4192,21.0,530,2013-06-01
4193,21.0,988,2013-08-03
4194,21.0,899,2013-08-10
4195,21.0,1500,2013-10-19
4196,21.0,754,2013-10-19
4197,21.0,1335,2014-01-12
4198,21.0,2057,2014-04-01
4199,21.0,1422,2014-04-05
4200,22.0,7890,2014-06-28
4201,22.0,2880,2014-07-08
4202,23.0,10,2016-04-02
4203,22.0,400,2014-07-20
4204,22.0,3000,2014-09-14
4205,22.0,2318,2014-10-04
4206,22.0,10,2014-10-04
4207,22.0,35,2014-10-13
4208,22.0,15,2014-10-14
4209,22.0,35,2014-10-15
4210,22.0,50,2014-10-17
4211,22.0,35,2014-10-18
4212,22.0,250,2014-10-28
4213,23.0,75,2016-05-11
4214,22.0,10,2014-11-03
4215,22.0,35,2014-11-15
4216,22.0,15,2014-11-18
4217,22.0,400,2014-12-07
4218,22.0,50,2014-12-13
4219,22.0,35,2014-12-17
4220,22.0,10,2014-12-18
4221,22.0,35,2014-12-30
4222,22.0,25,2015-01-04
4223,22.0,15,2015-01-20
4224,21.0,1100,2012-08-19
4225,23.0,68,2016-06-03
4226,22.0,15,2015-01-21
4227,22.0,350,2015-02-01
4228,22.0,39,2015-02-03
4229,22.0,75,2015-02-07
4230,22.0,60,2015-02-08
4231,22.0,45,2015-02-15
4232,22.0,40,2015-02-16
4233,22.0,150,2015-02-28
4234,22.0,45,2015-03-07
4235,22.0,45,2015-03-22
4236,23.0,84,2016-06-14
4237,22.0,20,2015-03-23
4238,22.0,1621,2015-04-06
4239,23.0,1000,2015-05-03
4240,23.0,55,2015-05-04
4241,23.0,3000,2015-05-08
4242,23.0,278,2015-06-21
4243,23.0,310,2015-07-12
4244,23.0,118,2015-07-13
4245,23.0,5000,2015-07-17
4246,23.0,343,2015-07-24
4247,23.0,75,2016-07-13
4248,23.0,108,2015-07-26
4249,23.0,50,2015-07-26
4250,23.0,350,2015-07-31
4251,23.0,200,2015-08-02
4252,23.0,110,2015-08-02
4253,23.0,1000,2015-08-09
4254,23.0,244,2015-08-15
4255,23.0,1660,2015-08-30
4256,23.0,45,2015-09-05
4257,23.0,45,2015-09-12
4258,23.0,35,2016-07-14
