,Unnamed: 0,CountryCode,CurrentHandle,NameFirst,NameLast,PlayerId,TotalUSDPrize,Key,KL,kh
764,64,de,SaltTheWound,Bastian,Brouwers,3517,670.98,3517-SaltTheWound-Bastian-Brouwers,3517-SaltTheWound-Brouwers-Bastian,3517-SaltTheWound
765,65,pl,Zazu,Patryk,Niemier,2623,666.09,2623-Zazu-Patryk-Niemier,2623-Zazu-Niemier-Patryk,2623-Zazu
766,66,be,ELVIS,Antoine,Paquay,2626,665.14,2626-ELVIS-Antoine-Paquay,2626-ELVIS-Paquay-Antoine,2626-ELVIS
767,67,fr,MiNiCrow,Clémont,Dumont,28754,661.77,28754-MiNiCrow-Clémont-Dumont,28754-MiNiCrow-Dumont-Clémont,28754-MiNiCrow
768,68,cn,LeeLee,Hanquan,Li,26638,656.9,26638-LeeLee-Hanquan-Li,26638-LeeLee-Li-Hanquan,26638-LeeLee
769,69,nl,PoYo,Tom,Brekelmans,3068,654.24,3068-PoYo-Tom-Brekelmans,3068-PoYo-Brekelmans-Tom,3068-PoYo
770,70,fr,ChubZ,Simon,Vullo,4575,643.41,4575-ChubZ-Simon-Vullo,4575-ChubZ-Vullo-Simon,4575-ChubZ
771,71,kr,Crane,Han-Byul,Kim,1298,632.23,1298-Crane-Han-Byul-Kim,1298-Crane-Kim-Han-Byul,1298-Crane
772,72,kr,Sync,Gil-Sup,Byun,1104,622.58,1104-Sync-Gil-Sup-Byun,1104-Sync-Byun-Gil-Sup,1104-Sync
773,73,kr,BBi,Hyo-Jong,Park,1109,622.58,1109-BBi-Hyo-Jong-Park,1109-BBi-Park-Hyo-Jong,1109-BBi
774,74,gb,Cladorhiza,David,Phillips,15540,619.64,15540-Cladorhiza-David-Phillips,15540-Cladorhiza-Phillips-David,15540-Cladorhiza
775,75,kr,kkOma,Jung-Gyoon,Kim,1107,612.17,1107-kkOma-Jung-Gyoon-Kim,1107-kkOma-Kim-Jung-Gyoon,1107-kkOma
776,76,kr,Eve,Shee-Yoon,Kim,2282,606.48,2282-Eve-Shee-Yoon-Kim,2282-Eve-Kim-Shee-Yoon,2282-Eve
777,77,kr,ShowTime,Ji-Ho,Jung,10973,605.83,10973-ShowTime-Ji-Ho-Jung,10973-ShowTime-Jung-Ji-Ho,10973-ShowTime
778,78,kr,Brain,Dong-Gyu,Kim,3617,603.79,3617-Brain-Dong-Gyu-Kim,3617-Brain-Kim-Dong-Gyu,3617-Brain
779,79,it,Narcotic,Federico,Tognini,15018,601.46,15018-Narcotic-Federico-Tognini,15018-Narcotic-Tognini-Federico,15018-Narcotic
780,80,us,Edge,Josh,Yang,1246,600.0,1246-Edge-Josh-Yang,1246-Edge-Yang-Josh,1246-Edge
781,81,co,Bellini,Cody,Kirkland,3540,600.0,3540-Bellini-Cody-Kirkland,3540-Bellini-Kirkland-Cody,3540-Bellini
782,82,co,Adj,Juan,Sebastián-Jaimes,3541,600.0,3541-Adj-Juan-Sebastián-Jaimes,3541-Adj-Sebastián-Jaimes-Juan,3541-Adj
783,83,sg,DrakE,Bryan,Sum,7289,600.0,7289-DrakE-Bryan-Sum,7289-DrakE-Sum-Bryan,7289-DrakE
784,84,bg,stakimaN,Nikolay,Nedelchev,7996,600.0,7996-stakimaN-Nikolay-Nedelchev,7996-stakimaN-Nedelchev-Nikolay,7996-stakimaN
785,85,se,Mekar,Alexander,Jonsson,7998,600.0,7998-Mekar-Alexander-Jonsson,7998-Mekar-Jonsson-Alexander,7998-Mekar
786,86,ch,Mamba,Alwin,Hauser,32770,600.0,32770-Mamba-Alwin-Hauser,32770-Mamba-Hauser-Alwin,32770-Mamba
787,87,fr,MouLou,Alexandre,Delyon,28596,590.52,28596-MouLou-Alexandre-Delyon,28596-MouLou-Delyon-Alexandre,28596-MouLou
788,88,dk,Sonder,Niels,Schou-Andreasen,3687,589.23,3687-Sonder-Niels-Schou-Andreasen,3687-Sonder-Schou-Andreasen-Niels,3687-Sonder
789,89,kr,Harrier,Han-Jin,Ju,2894,588.65,2894-Harrier-Han-Jin-Ju,2894-Harrier-Ju-Han-Jin,2894-Harrier
790,90,us,KiF1rE,-,-,17536,580.03,17536-KiF1rE,17536-KiF1rE,17536-KiF1rE
791,91,pl,Rodzyn,Sebastian,Leszczyński,30397,566.82,30397-Rodzyn-Sebastian-Leszczyński,30397-Rodzyn-Leszczyński-Sebastian,30397-Rodzyn
792,92,my,SSeoni,Benjamin-Tian-Liang,Chan,7301,566.41,7301-SSeoni-Benjamin-Tian-Liang-Chan,7301-SSeoni-Chan-Benjamin-Tian-Liang,7301-SSeoni
793,93,de,miou,Daniel,Holthuis,2357,566.33,2357-miou-Daniel-Holthuis,2357-miou-Holthuis-Daniel,2357-miou
794,94,dk,Ciara,René,Krag,1270,560.16,1270-Ciara-René-Krag,1270-Ciara-Krag-René,1270-Ciara
795,95,kr,Dragon,Yong-Soo,Jeon,1683,559.7,1683-Dragon-Yong-Soo-Jeon,1683-Dragon-Jeon-Yong-Soo,1683-Dragon
796,96,us,sleet,Anton,Bischoff-Fredrick,6392,554.09,6392-sleet-Anton-Bischoff-Fredrick,6392-sleet-Bischoff-Fredrick-Anton,6392-sleet
797,97,kr,Legend,Seong-Jeon,Yi,11446,549.99,11446-Legend-Seong-Jeon-Yi,11446-Legend-Yi-Seong-Jeon,11446-Legend
798,98,fr,Rotab,Jean-Baptiste,Doubez,14697,547.96,14697-Rotab-Jean-Baptiste-Doubez,14697-Rotab-Doubez-Jean-Baptiste,14697-Rotab
799,99,gb,Aicy,Tom,Couzens,19885,546.11,19885-Aicy-Tom-Couzens,19885-Aicy-Couzens-Tom,19885-Aicy
800,0,fr,Downfall,-,-,21691,542.39,21691-Downfall,21691-Downfall,21691-Downfall
801,1,cn,lengmo,-,-,21451,541.66,21451-lengmo,21451-lengmo,21451-lengmo
802,2,ch,Zervas,Fabio,Bügler,11447,539.01,11447-Zervas-Fabio-Bügler,11447-Zervas-Bügler-Fabio,11447-Zervas
803,3,au,Wally,Hayden,Bell,14545,532.86,14545-Wally-Hayden-Bell,14545-Wally-Bell-Hayden,14545-Wally
804,4,kr,Yeah,Min-Seok,Kim,1116,531.97,1116-Yeah-Min-Seok-Kim,1116-Yeah-Kim-Min-Seok,1116-Yeah
805,5,gb,Shibbxyz,-,-,4374,528.0,4374-Shibbxyz,4374-Shibbxyz,4374-Shibbxyz
